Id,Title,Price(Triệu/tháng),Square(m²),District,City,Date
52496,"Cho thuê phòng trọ full nội thất cao cấp (Cao Lỗ, quận 8), 30m2, 3,5 tr/tháng",3.5,30.0,Quận 8,Hồ Chí Minh,12/06/2018 
52767,"Phòng tiện nghi, thoáng mát ngay Trần Quang Khải, quận 1",6.5,20.0,Quận 1,Hồ Chí Minh,12/06/2018 
53156,"Cho thuê phòng trọ, full nội thất Quận 8, rộng 30m2",3.0,30.0,Quận 8,Hồ Chí Minh,12/06/2018 
53656,"Phòng bao mới, có kệ bếp, wc riêng - gần chợ Phạm Văn Chiêu, giá 2.5 tr/th",2.5,25.0,Gò Vấp,Hồ Chí Minh,12/06/2018 
53874,"Căn hộ dịch vụ cao cấp khu người nhật, đầy đủ tiện nghi chỉ cần xách Vali vào là ở 0917.336.200",12.0,40.0,Quận 1,Hồ Chí Minh,12/06/2018 
53964,"Căn hộ dịch vụ đầy đủ nội thất khu người nhật chỉ cần vào là ở ngay, giá 10 triệu. 0917.336.200",10.0,32.0,Quận 1,Hồ Chí Minh,12/06/2018 
54686,"Nhà trọ cho thuê 215 Lưu Hữu Phước, Phường 15, Quận 8",4.2,40.0,Quận 8,Hồ Chí Minh,12/06/2018 
54924,"Cho thuê phòng trọ full nội thất, free wifi, giờ giấc thoải mái tại quận 8. LH: 09035090",3.2,30.0,Quận 8,Hồ Chí Minh,12/06/2018 
55581,"Cần cho thuê phòng 16m2, số 54/1A Duy Tân, P15, Phú Nhuận. LH C Thuỷ 01285444898",1.8,16.0,Phú Nhuận,Hồ Chí Minh,12/06/2018 
56039,"Phòng trọ D2, Bình Thạnh tiện nghi gần các trường đại học, siêu thị",4.9,,Bình Thạnh,Hồ Chí Minh,13/06/2018 
56085,"Cho thuê phòng full nội thất tại 824/37, Sư Vạn Hạnh, Q. 10",4.6,20.0,Quận 10,Hồ Chí Minh,13/06/2018 
56890,"Cho thuê phòng 30m2, MT đường Tân Thới Nhất 17, Q. 12, giá 3 triệu/tháng. LH chủ nhà: 0985111617",3.0,30.0,Quận 12,Hồ Chí Minh,06/07/2018 
57234,Cho thuê phòng trọ hẻm 217 trong trường cao đẳng kinh tế kỹ thuật phú lâm,3.0,30.0,Quận 6,Hồ Chí Minh,13/06/2018 
57369,"Phòng tầng trệt, có máy lạnh gần Vincom, Big C, P. Thảo Điền, Q2, giá 3 triệu/tháng",3.0,25.0,Quận 2,Hồ Chí Minh,13/06/2018 
